stylist_id,provider_name,country,city,area_name,postcode_outward,location_raw,service_name_raw,category_name_raw,price_minor,currency,booking_url,fallback_booking_url,snapshot_fetched_at,external_service_id,data_source
35c2daf8-6205-4156-b176-8c289a8f28c2,Lisya Styles,England,London,,,West London,Frontal knotless Braids with Curls,Frontals,23000,GBP,https://app.acuityscheduling.com/schedule.php?owner=21594138,,2026-01-15T12:49:22.485402+00:00,2,service_facts
334e0fe0-b484-4773-8239-ba571b0674d4,Christiana,England,London,,,"London, Belvedere",Large Knotless Braids,ALL THINGS KNOTLESS,11000,GBP,https://app.acuityscheduling.com/schedule.php?owner=16255641,,2026-01-15T12:20:46.990094+00:00,0,service_facts
334e0fe0-b484-4773-8239-ba571b0674d4,Christiana,England,London,,,"London, Belvedere",Medium Boho Knotless Braids - Bob length ,ALL THINGS KNOTLESS,12000,GBP,https://app.acuityscheduling.com/schedule.php?owner=16255641,,2026-01-15T12:20:46.990094+00:00,1,service_facts
71dbb3b0-301f-4c93-9640-32570483a4c8,SM STUDIOS,England,South London,,,"South London, CARD",Medium Knotless Braids,Knotless Braids,11000,GBP,https://smstudio.as.me/,,2026-01-15T12:32:54.792558+00:00,0,service_facts
71dbb3b0-301f-4c93-9640-32570483a4c8,SM STUDIOS,England,South London,,,"South London, CARD",Large Knotless Braids,Knotless Braids,8500,GBP,https://smstudio.as.me/,,2026-01-15T12:32:54.792558+00:00,1,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Small Knotless Goddess Braids (Waist Length),Knotless Goddess Braids (Human Hair Curls),19000,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,3,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Medium Knotless Goddess Braids (Waist Length),Knotless Goddess Braids (Human Hair Curls),17000,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,4,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Large Knotless Goddess Braids (Waist Length),Knotless Goddess Braids (Human Hair Curls),14000,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,5,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Small Knotless Goddess Braids (Mid back Length),Knotless Goddess Braids (Synthetic Curls),15500,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,0,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Medium Knotless Goddess Braids (Mid Back Length),Knotless Goddess Braids (Synthetic Curls),13500,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,1,service_facts
4ee3b420-6911-415a-8c51-ec1d15dec17d,STYLEDBYIMAN,England,South East London,,,South East London,Large Knotless Goddess Braids (Mid back Length),Knotless Goddess Braids (Synthetic Curls),10000,GBP,https://styledbyimank.as.me/,,2026-01-15T12:44:44.555784+00:00,2,service_facts
a14adfe0-cb36-4c6e-a9d4-8b0c23eabb83,mayasbraiding,England,London,Norwood Junction,SE25,"London, Norwood Junction",Jumbo knotless braids,Knotless braids ,7000,GBP,https://mayasbraiding.as.me/,,2026-01-15T12:10:44.378526+00:00,0,service_facts
